42300690516701462	0.711
41231840660452750	0.375
41231853545355348	0.286
41231836365464984	1.257
41231836365486802	0.811
41231853545358237	1.070
41231990984303074	0.674
42300694811640272	0.909
42300694811663514	0.531
42300690516704920	0.685
42300690516681020	0.581
41231840660448660	0.955
42300553077749688	0.831
42300694811664330	0.728
41231836365484708	0.695
41231973804441815	1.135
42300690516705915	1.061
42300694811663480	0.997
42300553077746405	0.755
42300694811663942	0.638
41231853545355439	0.808
41231978099404214	1.268
41231982394373236	1.811
41231986689345092	0.457
41231986689343990	0.938
42300690516705676	0.637
41231978099409375	0.561
42310036365530869	0.0
42300553077751029	0.392
42300690516702843	0.632
42300694811664156	1.029

42300553077751971	0.8
41231978099402920	0.8
42300557372714756	0.8
41231857840319898	0.8
41231978099409578	0.496
